date;open;high;low;close
29/08/2018;107.5;108.44;100.65;103.65
30/08/2018;103.75;106.0;96.5;103.15
31/08/2018;103.25;117.6;102.31;116.05
01/09/2018;115.83;124.14;115.5;120.48
02/09/2018;120.92;124.55;116.1;119.39
03/09/2018;119.9;136.26;118.67;134.5
04/09/2018;135.01;140.38;134.6;138.19
05/09/2018;138.0;140.17;113.5;114.25
06/09/2018;114.66;117.99;107.95;116.65
07/09/2018;116.92;119.62;110.0;110.68
08/09/2018;110.72;113.91;100.91;103.71
09/09/2018;103.29;110.59;99.85;104.83
10/09/2018;105.3;108.82;102.93;105.27
11/09/2018;105.45;109.06;100.7;105.38
12/09/2018;105.53;105.53;96.4;104.21
13/09/2018;104.36;116.66;104.36;112.0
14/09/2018;112.0;117.81;107.84;116.42
